event_id,id,name,match_id,season,competition,team,player,statsbomb_xg,loc_x,loc_y,loc_z,follows_dribble,first_time,open_net,deflected,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
107b0b2f-6b57-4017-8ec9-cb021b50edce,16,Shot,303504,2019/2020,La Liga,Levante UD,Gonzalo Julián Melero Manzanares,0.2851084,120.0,45.5,0.5,False,False,False,False,93,Normal,40,Right Foot,98,Off T
641f7d6a-85fd-4012-a536-ba06a4f24d51,16,Shot,3773477,2020/2021,La Liga,Real Betis,Arnaldo Antonio Sanabria Ayala,0.015270742,119.0,44.5,1.1,False,True,False,False,91,Half Volley,40,Right Foot,100,Saved
b3e20c8e-489d-4cde-9131-b9edfb103e3c,16,Shot,303493,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,0.024692051,120.0,7.1,0.2,False,False,False,False,93,Normal,40,Right Foot,98,Off T
58061e01-640b-4d11-8111-de04fc4ecf5a,16,Shot,3773415,2020/2021,La Liga,Barcelona,Ousmane Dembélé,0.0357645,117.1,42.1,0.9,False,False,False,False,93,Normal,38,Left Foot,100,Saved
ee56cb3a-709b-4162-9553-a2a399559bba,16,Shot,303674,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,0.05154781,118.3,40.0,0.5,False,False,False,False,93,Normal,38,Left Foot,100,Saved
becd7956-ce44-479e-8fc9-16a2d1f1f349,16,Shot,15946,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.07699243,120.0,34.1,0.9,False,True,False,False,91,Half Volley,40,Right Foot,98,Off T
ae9330b5-50e5-40d2-a445-1e7755a1b39f,16,Shot,3749310,2003/2004,Premier League,Southampton,Kevin Phillips,0.07761519,120.0,47.0,1.5,False,False,False,False,93,Normal,37,Head,98,Off T
36ef7d7d-5ece-4e14-b5b8-9db6de8947a9,16,Shot,3749434,2003/2004,Premier League,Birmingham City,Stan Lazaridis,0.018375926,118.8,38.5,0.9,False,True,False,False,93,Normal,38,Left Foot,100,Saved
13035425-8ef7-46fd-8d9e-d83cacd01a4f,16,Shot,16317,2018/2019,La Liga,Eibar,Sergio Enrich Ametller,0.09620356,110.0,51.8,,False,False,False,False,93,Normal,37,Head,101,Wayward
cf93ea3b-493d-4d54-8947-e224bbcebaad,16,Shot,16029,2018/2019,La Liga,Barcelona,Ivan Rakitić,0.0061415313,120.0,48.8,5.2,False,False,False,False,93,Normal,40,Right Foot,98,Off T
e6395ae8-7700-466a-9ccf-780b391ad1ba,16,Shot,303666,2019/2020,La Liga,Granada,Darwin Daniel Machís Marcano,0.0065562283,120.0,61.5,7.2,False,False,False,False,93,Normal,40,Right Foot,98,Off T
3cbad039-8ce9-43dc-8f5b-05b737f686bd,16,Shot,16205,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.11437729,118.6,43.1,0.3,False,False,False,False,93,Normal,37,Head,100,Saved
bc2de9e7-2136-485c-a875-b9bba8723020,16,Shot,3749522,2003/2004,Premier League,Arsenal,Jérémie Aliadière,0.027866354,116.7,29.9,,False,True,False,False,93,Normal,38,Left Foot,96,Blocked
219c25e0-71c7-4d30-a818-54ffa292b2a5,16,Shot,3773661,2020/2021,La Liga,Getafe,José Antonio Miranda Boacho,0.07121298,116.1,40.8,,False,False,False,False,93,Normal,37,Head,101,Wayward
