event_id,id,name,match_id,season,competition,team,player,pos_id,pos_name,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
c2380695-1b92-44da-937a-f7523b77d61c,23,Goal Keeper,3749528,2003/2004,Premier League,Newcastle United,Shay Given,44,Set,,,,,,
4ff1442b-9e3f-4894-b614-a6c565870f87,23,Goal Keeper,303487,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
b5b40aea-f6c7-4110-b206-8d1ddff65280,23,Goal Keeper,15973,2018/2019,La Liga,Huesca,Axel Werner,44,Set,,,,,,
522cceb6-1326-4e16-afb8-b3aff8eedd4a,23,Goal Keeper,16306,2018/2019,La Liga,Barcelona,Jasper Cillessen,44,Set,,,,,,
738fba12-2184-4058-a0f7-d7cf95a6b014,23,Goal Keeper,303725,2019/2020,La Liga,Villarreal,Sergio Asenjo Andrés,44,Set,46,Standing,35,Both Hands,52,In Play Danger
2dd4cbd3-7c56-45d9-8dbe-096e759628ab,23,Goal Keeper,303634,2019/2020,La Liga,Osasuna,Sergio Herrera Pirón,44,Set,,,,,,
5628736e-0179-43f6-9b23-46accae2b430,23,Goal Keeper,3773415,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,45,Diving,,,55,No Touch
eba73f6e-70b5-404d-b09d-9ab4118199b0,23,Goal Keeper,303400,2019/2020,La Liga,Valencia,Jaume Doménech Sánchez,44,Set,45,Diving,35,Both Hands,15,Success
0cb8ed9a-e40b-4103-a3e6-e2da7977aa02,23,Goal Keeper,303421,2019/2020,La Liga,Deportivo Alavés,Roberto Jiménez Gago,44,Set,45,Diving,,,55,No Touch
e5fb3eba-e6fe-4945-b7ce-1cad33096e9a,23,Goal Keeper,3773497,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,43,Prone,,,,,,
